Sample	Contig	Covered Fraction
aligned	ivig_1725	0.13890596
aligned	ivig_1726	0.11799045
aligned	ivig_1731	0.6520498
aligned	ivig_1732	0.048435275
aligned	ivig_1736	0
aligned	ivig_1737	0
aligned	ivig_1739	0
aligned	ivig_1741	0
aligned	ivig_1743	0.059297577
aligned	ivig_1747	0
aligned	ivig_1748	0
aligned	ivig_1750	0
aligned	ivig_1751	0
aligned	ivig_1752	0
aligned	ivig_1754	0
aligned	ivig_1755	0
aligned	ivig_1756	0.029599681
aligned	ivig_1758	0
aligned	ivig_1759	0
aligned	ivig_1760	0.20795378
aligned	ivig_1763	0
aligned	ivig_1765	0
aligned	ivig_1766	0
aligned	ivig_1771	0
aligned	ivig_1772	0.114179924
aligned	ivig_1775	0
aligned	ivig_1776	0.024665944
aligned	ivig_1777	0.09284881
aligned	ivig_1783	0
aligned	ivig_1784	0
aligned	ivig_1785	0.050248653
aligned	ivig_1787	0
aligned	ivig_1789	0
aligned	ivig_1790	0
aligned	ivig_1792	0.03751308
aligned	ivig_1795	0
aligned	ivig_1796	0
aligned	ivig_1799	0
aligned	ivig_1800	0.17460881
aligned	ivig_1803	0
aligned	ivig_1806	0
aligned	ivig_1808	0
aligned	ivig_1809	0
aligned	ivig_1810	0
aligned	ivig_1813	0.013750782
aligned	ivig_1814	0.20305105
aligned	ivig_1815	0.15423487
aligned	ivig_1816	0
aligned	ivig_1817	0.02863274
aligned	ivig_1819	0
aligned	ivig_1824	0.086391136
aligned	ivig_1828	0.06853244
aligned	ivig_1831	0
aligned	ivig_1832	0
aligned	ivig_1833	0.021375509
aligned	ivig_1836	0.68766737
aligned	ivig_1838	0.04603989
aligned	ivig_1839	0
aligned	ivig_1840	0
aligned	ivig_1841	0.011513074
aligned	ivig_1844	0
aligned	ivig_1845	0
aligned	ivig_1847	0
aligned	ivig_1848	0
aligned	ivig_1849	0
aligned	ivig_1850	0
aligned	ivig_1853	0
aligned	ivig_1854	0
aligned	ivig_1857	0
aligned	ivig_1859	0.0874596
aligned	ivig_1860	0
aligned	ivig_1861	0
aligned	ivig_1864	0.017765636
aligned	ivig_1865	0.3677971
aligned	ivig_1866	0
aligned	ivig_1867	0
aligned	ivig_1868	0
aligned	ivig_1869	0
aligned	ivig_1870	0
aligned	ivig_1871	0
aligned	ivig_1874	0
aligned	ivig_1875	0
