Contig	M1_S25-metaG_Genomad_mapped Mean	M1_S25-metaG_Genomad_mapped Trimmed Mean	M1_S25-metaG_Genomad_mapped Covered Bases	M1_S25-metaG_Genomad_mapped Variance	M1_S25-metaG_Genomad_mapped RPKM	M1_S25-metaG_Genomad_mapped TPM	M2_S26-metaG_Genomad_mapped Mean	M2_S26-metaG_Genomad_mapped Trimmed Mean	M2_S26-metaG_Genomad_mapped Covered Bases	M2_S26-metaG_Genomad_mapped Variance	M2_S26-metaG_Genomad_mapped RPKM	M2_S26-metaG_Genomad_mapped TPM	M3_S27-metaG_Genomad_mapped Mean	M3_S27-metaG_Genomad_mapped Trimmed Mean	M3_S27-metaG_Genomad_mapped Covered Bases	M3_S27-metaG_Genomad_mapped Variance	M3_S27-metaG_Genomad_mapped RPKM	M3_S27-metaG_Genomad_mapped TPM
M2_S26_contig_41341	5.0373735	4.8864713	10429	7.9347324	6.5465927	182.7793	4.4159336	4.2859244	10087	7.3835697	6.333928	176.58295	4.927808	4.7810364	10486	7.312065	7.125707	198.23785
M2_S26_contig_42514	46.088753	41.073677	14004	1690.1364	67.29216	1878.7811	65.407845	58.528397	14097	2258.7766	107.483864	2996.53	59.831818	53.301235	14007	2030.8497	99.83564	2777.4358
M2_S26_contig_379|provirus_743_71857	373.38153	377.49506	71115	3978.137	468.22665	13072.773	316.06207	320.35785	71115	2351.943	458.28583	12776.497	280.70908	284.26123	71115	1738.1694	408.4334	11362.655
M2_S26_contig_2449|provirus_73065_122060	1799.3892	1790.45	48996	35111.89	2267.927	63319.98	1501.4607	1493.4346	48996	11213.24	2182.8516	60855.477	1514.8346	1501.3274	48996	12946.713	2209.2412	61461.28
M2_S26_contig_2961|provirus_2_26141	10.281262	9.9879875	26111	29.899342	13.530983	377.78186	10.195344	9.86846	26140	24.320492	15.433945	430.28107	8.804309	8.575709	26107	21.254406	13.432742	373.7001
M2_S26_contig_3955|provirus_85611_117887	46.10085	24.60823	32277	11361.861	71.27813	1990.0682	40.416348	22.54975	32277	7877.9976	73.70874	2054.9177	48.442276	24.157566	32277	14136.615	88.4427	2460.4841
M2_S26_contig_6371|provirus_22542_35299	12.792354	12.702591	12758	18.445337	16.181461	451.78253	13.438055	13.373722	12758	18.5514	19.666157	548.27045	10.458518	10.393285	12758	13.904517	15.172434	422.09833
M2_S26_contig_7837|provirus_3_30345	100.784584	100.20011	30343	259.60242	128.3057	3582.2646	92.72321	91.979095	30343	221.1868	136.06621	3793.375	85.677605	84.94208	30343	228.27026	126.415535	3516.8909
M2_S26_contig_12192|provirus_28991_44848	10.894895	10.850686	15817	14.760393	13.62165	380.31317	9.532977	9.495756	15858	12.270062	13.886888	387.15085	9.440667	9.323808	15826	11.179331	13.665171	380.16632
M2_S26_contig_12853|provirus_10725_32709	11.793176	11.532336	21910	29.910507	15.362816	428.92618	6.93373	6.7847147	21910	11.798164	10.1751175	283.67084	9.83041	9.683	21905	19.607355	14.482484	402.90387
